date,city,latitude,longitude,pm25,aqi,aqi_category,pm10,o3,no2,so2,co,temperature,humidity,wind_speed,year,month,day,hour,day_of_week,season,is_weekend
2020-01-01,Dover,39.1582,-75.5244,8.79,49,Good,26.36,37.15,12.42,6.65,0.33,6.38,55.4,4.2,2020,1,1,0,2,Winter,0
2020-01-02,Dover,39.1582,-75.5244,16.76,65,Moderate,23.25,33.99,12.22,5.97,0.54,19.03,75.2,7.1,2020,1,2,0,3,Winter,0
2020-01-03,Dover,39.1582,-75.5244,10.95,54,Moderate,25.71,23.12,16.84,5.44,0.52,23.37,89.2,4.8,2020,1,3,0,4,Winter,0
2020-01-04,Dover,39.1582,-75.5244,8.53,47,Good,19.16,38.72,21.2,5.17,0.4,7.43,38.8,6.4,2020,1,4,0,5,Winter,1
2020-01-05,Dover,39.1582,-75.5244,7.93,44,Good,26.74,25.38,14.38,3.7,0.69,10.56,31.0,6.6,2020,1,5,0,6,Winter,1
2020-01-06,Dover,39.1582,-75.5244,14.38,61,Moderate,30.62,34.42,13.48,5.16,0.32,6.07,73.0,9.4,2020,1,6,0,0,Winter,0
2020-01-07,Dover,39.1582,-75.5244,14.25,61,Moderate,17.72,30.17,19.03,4.21,0.48,21.0,77.7,0.9,2020,1,7,0,1,Winter,0
2020-01-08,Dover,39.1582,-75.5244,11.27,55,Moderate,34.51,36.72,26.87,3.94,0.58,9.29,39.8,2.5,2020,1,8,0,2,Winter,0
2020-01-09,Dover,39.1582,-75.5244,8.23,46,Good,15.33,30.97,19.22,6.01,0.59,16.51,51.4,5.0,2020,1,9,0,3,Winter,0
2020-01-10,Dover,39.1582,-75.5244,12.25,57,Moderate,29.2,21.79,19.63,3.03,0.46,7.59,56.7,0.9,2020,1,10,0,4,Winter,0
2020-01-11,Dover,39.1582,-75.5244,7.74,43,Good,24.16,29.64,15.11,4.95,0.62,20.86,59.0,6.9,2020,1,11,0,5,Winter,1
2020-01-12,Dover,39.1582,-75.5244,11.32,55,Moderate,29.04,29.76,18.72,4.27,0.45,6.19,56.0,7.0,2020,1,12,0,6,Winter,1
2020-01-13,Dover,39.1582,-75.5244,7.66,43,Good,20.95,24.71,21.52,4.08,0.54,9.9,69.4,3.2,2020,1,13,0,0,Winter,0
2020-01-14,Dover,39.1582,-75.5244,17.0,66,Moderate,31.75,40.58,20.26,3.01,0.36,5.6,50.8,4.5,2020,1,14,0,1,Winter,0
2020-01-15,Dover,39.1582,-75.5244,11.48,55,Moderate,25.24,26.55,21.97,5.03,0.41,20.04,54.1,1.6,2020,1,15,0,2,Winter,0
2020-01-16,Dover,39.1582,-75.5244,16.8,65,Moderate,27.22,32.71,21.91,6.47,0.5,7.89,49.3,9.3,2020,1,16,0,3,Winter,0
2020-01-17,Dover,39.1582,-75.5244,9.61,52,Moderate,15.44,29.88,27.52,5.76,0.54,14.29,60.3,4.8,2020,1,17,0,4,Winter,0
2020-01-18,Dover,39.1582,-75.5244,16.82,65,Moderate,24.47,25.67,17.5,4.26,0.6,21.26,54.3,5.3,2020,1,18,0,5,Winter,1
2020-01-19,Dover,39.1582,-75.5244,11.82,56,Moderate,17.01,39.92,23.1,5.49,0.36,21.08,87.9,4.2,2020,1,19,0,6,Winter,1
2020-01-20,Dover,39.1582,-75.5244,11.92,56,Moderate,20.97,19.52,20.19,3.99,0.48,8.13,31.9,9.1,2020,1,20,0,0,Winter,0
2020-01-21,Dover,39.1582,-75.5244,14.95,62,Moderate,15.32,26.74,18.71,3.27,0.33,20.69,77.0,9.6,2020,1,21,0,1,Winter,0
2020-01-22,Dover,39.1582,-75.5244,11.92,56,Moderate,31.28,19.86,15.05,4.82,0.53,19.89,77.2,3.2,2020,1,22,0,2,Winter,0
2020-01-23,Dover,39.1582,-75.5244,13.49,59,Moderate,34.42,39.83,19.69,6.1,0.49,23.67,50.4,5.5,2020,1,23,0,3,Winter,0
2020-01-24,Dover,39.1582,-75.5244,13.91,60,Moderate,19.48,19.49,21.66,4.71,0.35,12.05,34.7,2.5,2020,1,24,0,4,Winter,0
2020-01-25,Dover,39.1582,-75.5244,12.16,57,Moderate,15.21,21.99,16.03,5.79,0.53,7.69,37.8,8.6,2020,1,25,0,5,Winter,1
2020-01-26,Dover,39.1582,-75.5244,7.47,42,Good,33.14,33.19,20.26,4.2,0.68,22.7,71.7,3.5,2020,1,26,0,6,Winter,1
2020-01-27,Dover,39.1582,-75.5244,12.93,58,Moderate,27.97,32.37,26.03,3.72,0.54,14.75,77.9,2.1,2020,1,27,0,0,Winter,0
2020-01-28,Dover,39.1582,-75.5244,8.75,49,Good,21.84,39.2,27.62,3.85,0.64,24.26,85.8,0.9,2020,1,28,0,1,Winter,0
2020-01-29,Dover,39.1582,-75.5244,12.97,58,Moderate,15.83,39.33,24.44,6.2,0.54,21.95,48.4,1.9,2020,1,29,0,2,Winter,0
2020-01-30,Dover,39.1582,-75.5244,8.41,47,Good,28.18,20.1,24.65,6.77,0.51,8.9,83.5,2.1,2020,1,30,0,3,Winter,0
2020-01-31,Dover,39.1582,-75.5244,16.73,65,Moderate,16.91,31.03,26.3,3.81,0.63,12.6,84.2,5.0,2020,1,31,0,4,Winter,0
2020-02-01,Dover,39.1582,-75.5244,13.43,59,Moderate,21.73,29.22,14.79,5.98,0.48,22.62,73.6,8.1,2020,2,1,0,5,Winter,1
2020-02-02,Dover,39.1582,-75.5244,13.71,60,Moderate,22.08,21.81,14.18,5.45,0.52,9.5,34.1,6.4,2020,2,2,0,6,Winter,1
2020-02-03,Dover,39.1582,-75.5244,13.79,60,Moderate,25.84,35.75,28.46,7.29,0.37,19.22,51.6,6.5,2020,2,3,0,0,Winter,0
2020-02-04,Dover,39.1582,-75.5244,16.53,65,Moderate,22.59,24.21,22.91,6.38,0.57,10.02,58.2,1.8,2020,2,4,0,1,Winter,0
2020-02-05,Dover,39.1582,-75.5244,16.99,66,Moderate,23.37,30.17,25.29,4.07,0.54,9.52,59.6,2.1,2020,2,5,0,2,Winter,0
2020-02-06,Dover,39.1582,-75.5244,10.68,54,Moderate,23.58,26.3,17.56,4.05,0.6,14.37,71.2,2.2,2020,2,6,0,3,Winter,0
2020-02-07,Dover,39.1582,-75.5244,17.87,67,Moderate,29.23,39.13,20.34,6.27,0.42,26.14,36.7,3.4,2020,2,7,0,4,Winter,0
2020-02-08,Dover,39.1582,-75.5244,18.02,68,Moderate,28.42,38.53,23.55,3.76,0.6,16.57,48.9,6.4,2020,2,8,0,5,Winter,1
